date,AI,DBSI,NDVI,NDWI,NDBI,NDSI,SAVI ,TGSI,SPI,Tmean
01/05/1993,0.201208133,-0.013677083,0.107104167,-0.2434375,0.0579375,-0.107104167,0.108141667,0.1785625,0.890360565,34.1
01/06/1993,0.082631379,0.08918254,0.01020873,-0.190452381,0.006388889,-0.135420635,0.07752381,0.13034127,-0.324749099,34.88333333
01/07/1993,0.564607344,-0.06380202,0.143290909,0.120630909,-0.001620202,-0.143290909,0.10839899,0.157656566,1.20528016,32.56666667
01/08/1993,0.010023373,0.00885,0.182261111,-0.190544444,-0.046116667,-0.182261111,0.013982778,0.143055556,0.398156727,32.81666667
01/09/1993,0.006586922,0.162008,0.026893333,-0.260633333,-0.063033333,-0.268933333,0.01978,0.1634,-0.205925768,30.93333333
01/10/1993,0.002285219,0.106137374,0.229666667,-0.290469697,-0.003666667,-0.229666667,0.016632576,0.16969697,-1.43261284,26.35
01/11/1993,0.006442372,0.112033333,0.179837879,-0.291145455,0.040228788,-0.279837879,0.01238697,0.177301515,-0.620324153,22.08333333
01/12/1993,0.01,0.051904762,0.098513095,-0.189488095,-0.005420635,-0.238188095,0.0929,0.13303254,-0.23841814,16.31666667
01/01/1994,0.118749432,0.097200397,0.132053571,-0.228738095,0.039577381,-0.132053571,0.109007937,0.136607143,0.017615559,13.98333333
01/02/1994,0.077160442,0.006958333,0.185444444,-0.191986111,-0.046041667,-0.185444444,0.012626389,0.105986111,-0.098399787,15.31666667
01/03/1994,0.043077716,0.037589744,0.219005342,-0.256186966,-0.030286325,-0.219005342,0.01056391,0.155086538,-0.226412089,22.71666667
01/04/1994,0.031309882,0.068004274,0.124721154,-0.19233547,0.001413462,-0.124721154,0.092508547,0.132387821,-0.3106057,26.43333333
01/05/1994,0.043384218,0.146916667,0.100041667,-0.246604167,0.066416667,-0.100041667,0.075583333,0.179270833,-0.196333686,34.11666667
01/06/1994,0.009050218,0.126772222,0.098575,-0.225058333,0.050433333,-0.298575,0.076405556,0.175102778,-0.775455579,35.75
01/07/1994,0.407209114,-0.011139394,0.283242424,0.109327273,-0.049327273,-0.083242424,0.305813333,0.059266667,0.206343021,32.35
01/08/1994,0.220353662,-0.026762698,0.22291746,0.194978571,-0.071193651,-0.22291746,0.16894127,0.125261111,0.331355747,31.43333333
01/09/1994,0.201639223,-0.063312301,0.277416667,-0.213430159,-0.110834921,-0.277416667,0.2057,0.135173016,0.594106288,29.55
01/10/1994,0.02,0.039293803,0.017775171,-0.294476496,-0.028036325,-0.255600427,0.012752564,0.173166667,-0.11099327,25.26666667
01/11/1994,0.02184318,0.093855159,0.188928571,-0.282073413,0.023644841,-0.188928571,0.012788294,0.15744246,-0.323287233,22.13333333
01/12/1994,0.061565385,0.11025641,0.169179487,-0.278875458,0.028571429,-0.169179487,0.011185714,0.143542125,0.262169754,15.83333333
01/01/1995,0.088325225,0.083872222,0.19355,-0.276544444,0.009061111,-0.19355,0.012685,0.1256,0.216146375,13.43333333
01/02/1995,0.032445027,0.046,0.022694444,-0.272863248,-0.024782051,-0.226944444,0.015656838,0.12991453,-0.209397209,16.9
01/03/1995,0.022026775,0.044291667,0.025716667,-0.301166667,-0.037604167,-0.257166667,0.018266667,0.153958333,-0.629875596,20.36666667
01/04/1995,0.03900465,0.060865385,0.161316239,-0.22150641,-0.013145299,-0.161316239,0.011437073,0.113337607,-0.720106286,25.6
01/05/1995,0.027175983,0.164979167,0.132125,-0.296479167,0.0734375,-0.132125,0.097916667,0.1715625,-0.422193611,33.18333333
01/06/1995,0.16330826,0.155456349,0.117198413,-0.27218254,0.066287699,-0.117198413,0.089130952,0.168730159,0.430105069,35.58333333
01/07/1995,0.861625144,-0.090484127,0.217337302,0.206726191,0.003595238,-0.117337302,0.208221825,0.109019841,1.560480533,33.38333333
01/08/1995,0.282057864,-0.014879274,0.259319444,0.243899573,-0.07852671,-0.259319444,0.191082265,0.13770406,1.488794618,31.5
01/09/1995,0.00150217,0.103227778,0.18145,-0.283027778,-0.037472222,-0.25075,0.013428333,0.171916667,-1.076785133,30.3
01/10/1995,0.243451683,-0.021854701,0.236162393,0.25708547,-0.032564103,-0.236162393,0.162076923,0.147576923,0.225641089,26.65
01/11/1995,0.014579936,0.102611111,0.130025,-0.280444444,0.041194444,-0.17875,0.085822222,0.155194444,-0.036623085,19.55
01/12/1995,0.031541874,0.097791667,0.169791667,-0.266714286,0.035946429,-0.169791667,0.010971429,0.158458333,0.939168474,15.03333333
01/01/1996,0.098728167,0.011844444,0.02282,-0.238444444,-0.041188889,-0.2282,0.014886111,0.146833333,-0.184035549,12.93333333
01/02/1996,0.123433208,0.015875,0.115013889,-0.230277778,-0.039513889,-0.215013889,0.15,0.142319444,0.162827593,16.41666667
01/03/1996,0.134505276,-0.093833333,0.186175926,-0.092111111,-0.135435185,-0.186175926,0.135972222,0.061064815,0.112795737,22.35
01/04/1996,0.069879887,0.135472222,0.157416667,-0.292166667,0.056486111,-0.157416667,0.011047222,0.183569444,-0.289760764,28.06666667
01/05/1996,0.057717574,0.152314815,0.124321429,-0.277346561,0.071040344,-0.201243214,0.091705026,0.189433862,0.426646766,31.43333333
01/06/1996,0.322898221,-0.073144689,0.096640659,-0.169192308,0.006692308,-0.196640659,0.106962308,0.135225275,0.649351936,33.41666667
01/07/1996,0.019204833,0.023861905,0.175044048,-0.198190476,-0.031542857,-0.175044048,0.012927857,0.14294881,-0.035976258,32.73333333
01/08/1996,0.196827274,-0.007995238,0.208404762,-0.199688889,-0.062204762,-0.208404762,0.154944444,0.122879365,-0.356477565,31.8
01/09/1996,0.002155864,0.101159444,0.180294841,-0.251743651,-0.053471429,-0.240719841,0.013064405,0.157228571,-1.118468157,30.63333333
01/10/1996,0.066356538,0.06875119,0.221513095,-0.289302381,0.00067619,-0.221513095,0.014883095,0.168004762,-0.469305874,25.5
01/11/1996,0.02,0.125259259,0.013361944,-0.311935185,0.048351852,-0.187694444,0.087473148,0.170388889,-0.184000735,19.61666667
01/12/1996,0.002601783,0.123619048,0.015208452,-0.274813095,0.05410119,-0.252084524,0.010088571,0.158163095,-0.406863711,14.83333333
01/01/1997,0.082887081,0.082011905,0.017766601,-0.258857804,0.015128968,-0.177666005,0.011974008,0.143025794,-0.176110981,13.86666667
